GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,86.68,86.68,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,1.83,1.83,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2016,2016,2016,AFR,Africa,RWA,Rwanda,,,,7.261403739,7.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2018,2018,2018,AFR,Africa,RWA,Rwanda,,,,7.273381865,7.3,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,6.69,6.69,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2013,2013,2013,AFR,Africa,RWA,Rwanda,,,,7.678480962,7.7,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2022,2022,2022,AFR,Africa,RWA,Rwanda,,,,7.298351985,7.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2019,2019,2019,AFR,Africa,RWA,Rwanda,,,,7.26434287,7.3,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2015,2015,2015,AFR,Africa,RWA,Rwanda,,,,7.435549763,7.4,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2014,2014,2014,AFR,Africa,RWA,Rwanda,,,,7.057783369,7.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,87.61,87.61,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,3.28,3.28,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,11.22,11.22,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2009,2009,2009,AFR,Africa,RWA,Rwanda,,,,7.505635936,7.5,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2021,2021,2021,AFR,Africa,RWA,Rwanda,,,,7.404572071,7.4,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,97.53,97.53,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,74.69,74.69,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2017,2017,2017,AFR,Africa,RWA,Rwanda,,,,7.174197279,7.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),85.46,85.46,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,8.21,8.21,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2012,2012,2012,AFR,Africa,RWA,Rwanda,,,,7.074854957,7.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,9.43,9.43,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,4.69,4.69,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,1.63,1.63,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,13.01,13.01,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ1,Q1 (Poorest),14.54,14.54,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,75.78,75.78,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2011,2011,2011,AFR,Africa,RWA,Rwanda,,,,7.196127918,7.2,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.0,0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,85.46,85.46,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,95.55,95.55,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,88.54,88.54,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,12.39,12.39,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,85.1,85.1,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),78.45,78.45,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2008,2008,2008,AFR,Africa,RWA,Rwanda,,,,5.978008761,6.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,17.16,17.16,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,13.32,13.32,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,2.83,2.83,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,3.46,3.46,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,0.77,0.77,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,1.7,1.7,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2010,2010,2010,AFR,Africa,RWA,Rwanda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2010,2010,2010,AFR,Africa,RWA,Rwanda,,,,7.388374771,7.4,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,11.46,11.46,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2014,2014,2014,AFR,Africa,RWA,Rwanda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),21.55,21.55,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2023,2023,2023,AFR,Africa,RWA,Rwanda,,,,7.483621382,7.5,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2020,2020,2020,AFR,Africa,RWA,Rwanda,,,,7.435419384,7.4,,
